project_id,section_id,task_content,completed_at,description,due,duration
6f424rwJR7rJhXhQ,,Solicitar ventana de actualización (4 horas) [C5].,,,"{'date': datetime.date(2025, 10, 8), 'timezone': None}",
6f3qQ5WQMprv7xh8,,Recoger negativos de fotos en fotovida,,,"{'date': datetime.date(2025, 11, 1), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,"Parque aventura Boca de Tunel, Ags",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,23\. The Hurt Locker,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Rocio Hernandez,,,"{'date': datetime.date(2026, 4, 8), 'timezone': None}",
6f3q9rqqQqCV7WQh,,El nombre de la rosa Umberto Eco,,,,
6f424h3jXhCRC5x6,,Ampliar el campo de búsqueda (por folio) en las listas de observación.,,,,
6f424rwJR7rJhXhQ,,Actualizar servidor de configuración [ISS],,,"{'date': datetime.date(2025, 10, 9), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,SANTA ELENA ISLAND,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,24\. Toni Erdman,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Fernando Prieto,,,"{'date': datetime.date(2025, 11, 26), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Lolita,,,,
6f424h3jXhCRC5x6,,"Permitir una descarga de videos más práctica, así como permitir la descarga simultanea de cámaras y lapsos de tiempo independientes.",,,,
6f424rwJR7rJhXhQ,,Revisión de sistema funcionando correctamente [ISS].,,,"{'date': datetime.date(2025, 10, 9), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,"Tecolutla, un maravilloso destino de Veracruz | MÃ©xico Desconocido",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,26\. Sideways,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Brenda Gutierrez,,,"{'date': datetime.date(2025, 12, 18), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Cien años de soledad,,,,
6f424h3jXhCRC5x6,,Mostrar en un mapa con las cámaras cercanas al dispositivo donde se haya activado alguna alerta.,,,,
6f424rwJR7rJhXhQ,,Entrega de sistema funcionando [C5 / SEMEX / ISS].,,,"{'date': datetime.date(2025, 10, 10), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,[The Met Cloisters | The Metropolitan Museum of Art](https://www.metmuseum.org/visit/plan-your-visit/met-cloisters),,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,27\. We Were Here,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Claudia Luevano,,,"{'date': datetime.date(2026, 7, 10), 'timezone': None}",
6f3q9rqqQqCV7WQh,,El guardián entre el centeno,,,,
6f424h3jXhCRC5x6,,"Evitar la duplicidad de placas, en las listas de observación.",,,,
6f424rwJR7rJhXhQ,,Actualizar servidores periféricos [ISS].,,,"{'date': datetime.date(2025, 10, 10), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Uss ling (new York),,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,28\. The Lord of the Rings: The Return of the King,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Mama,,,"{'date': datetime.date(2026, 8, 20), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Diez negritos,,,,
6f424h3jXhCRC5x6,,Santiago y Sta Catarina conexión a C5.,,,,
6f424rwJR7rJhXhQ,,Instalación de SecurOS en estaciones de trabajo [C5].,,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,VALLE DE GUDALUPE VISITA VIÃ‘EDOS,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,30\. Carlos,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Braulio,,,"{'date': datetime.date(2026, 9, 26), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Sueño en el pabellon rojo,,,,
6f424h3jXhCRC5x6,,Revisar el tema del movimiento de licencia LPR flotante.,,,,
6f424rwJR7rJhXhQ,,Revisión de funcionamiento de MCC y estaciones de trabajo [C5]. m,,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Ver ballena azul,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,31\. Maborosi,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Pablo Albert,,,"{'date': datetime.date(2026, 9, 7), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Historia de dos ciudades,,,,
6f424h3jXhCRC5x6,,GIS pruebas locales.,,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Viaje al norte con nieve,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,32\. Amour,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Jesús Morales,,,"{'date': datetime.date(2025, 11, 15), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Don quijote,,,,
6f424h3jXhCRC5x6,,Audit Trail pruebas,,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Vive la caminata de costa a costa en Baja California | MÃ©xico Desconocido,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,33\. The Servant,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Luis Tavares,,,"{'date': datetime.date(2026, 5, 4), 'timezone': None}",
6f3q9rqqQqCV7WQh,,La maldición de Hill House,,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,"Aksari Resort Ubud, Indonesia ðŸ¨ - Photo by: [IG]",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,34\. Reversal of Fortune,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Polo Colunga,,,"{'date': datetime.date(2026, 5, 26), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Las historias de terror del libro rojo de David,,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,[Luxury French Quarter New Orleans Hotel - Hotel Monteleone](https://hotelmonteleone.com/),,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,"35\. Crouching Tiger, Hidden Dragon",,,,
6f3h7r5p7QgWmhPp,,Cumpleanos mama de Gaby Cuevas,,,"{'date': datetime.date(2026, 7, 22), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Asesina Íntima,,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Isla Guadalupe Tiburones blancos (Baja California),,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,37\. Schindler's List,,,,
6f3h7r5p7QgWmhPp,,Alejandro de chucho,,,"{'date': datetime.date(2025, 11, 13), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Gumaro de Dios, el caníbal",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,"Los Arcos, Puerto Vallarta",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,38\. Jackie,,,,
6f3h7r5p7QgWmhPp,,Fer de Chucho,,,"{'date': datetime.date(2025, 12, 31), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"La neoinquisición: Persecución, censura y decadencia cultural en el siglo XXI (Deusto) (Spanish Edition)
de Axel Kaiser Barents-von Hohenhagen (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,"SÃ³tano de barro, sierra gorda",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,39\. Sherpa,,,,
6f3h7r5p7QgWmhPp,,Lucíana de Conny,,,"{'date': datetime.date(2026, 3, 26), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Storytelling, la escritura mágica: Técnicas para ordenar las ideas, escribir con facilidad y hacer que te lean (Spanish Edition)
de Carlos Salas (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Playas irreales y paradisÃ­acas en MÃ©xico,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,4\. Pan's Labyrinth,,,,
6f3h7r5p7QgWmhPp,,Hijos Fernando ISS,,,"{'date': datetime.date(2026, 6, 26), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Yo, Díaz (Spanish Edition)
de Pedro J. Fernández (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,"Puente de Ikema-Ohashi, en las islas Miyako, JapÃ³n",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,40\. Sita Sings the Blues,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Manuel Joe,,,"{'date': datetime.date(2025, 11, 14), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Popular: Finding Happiness and Success in a World That Cares Too Much About the Wrong Kinds of Relationships
de Mitch Prinstein (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Pitcairn Islands,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,41\. Days of Heaven,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Esveidi,,,"{'date': datetime.date(2026, 6, 12), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Porfirio Díaz. Su vida y su tiempo I: La guerra: 1830-1867 (Spanish Edition)
de Carlos Tello Díaz (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Hotel Azulik (Tulum),,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,42\. Crumb,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Mariana de Esveidi,,,"{'date': datetime.date(2026, 7, 10), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"El exilio: Un relato de familia (Spanish Edition)
de Carlos Tello Díaz (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Hotel Xcaret,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,43\. Inside Llewyn Davis,,,,
6f3h7r5p7QgWmhPp,,Karina6,,,"{'date': datetime.date(2026, 9, 19), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Y mi palabra es la ley: AMLO en Palacio Nacional (Spanish Edition)
de Carlos Elizondo Mayer-Serra (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Hotel Vidanta Playa del Carmen,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,44\. One More Time With Feeling,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Anali Nacianceno,,,"{'date': datetime.date(2026, 8, 15), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"El secreto de Olga (LITERATURA INFANTIL - Premio Ciudad de Málaga) (Spanish Edition)
de Patricia García-Rojo, María Corredera (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Hotel Fairmont Mayakoba Riviera Maya,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,45\. Yi Yi,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Mariana,,,"{'date': datetime.date(2026, 7, 24), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Apuntes para mis hijos (Tezontle) (Spanish Edition)
de Benito Juárez, Fondo de Cultura Economica (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Hotel Palafitos en Punta Maroma,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,46\. The Diving Bell and the Butterfly,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Terry Frederickson,,,"{'date': datetime.date(2026, 8, 21), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Maximiliano, emperador de México (Spanish Edition)
de Carlos Tello Díaz (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,"Sendero en las montaÃ±as de la isla de SÃ£o Miguel, Azores",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,47\. The Class,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Olga,,,"{'date': datetime.date(2026, 8, 31), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"El Diablo: Prólogo de Pere Gimferrer (BackList Contemporáneos No Ficción) (Spanish Edition)
de Giovanni Papini, Vicente Fatone (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Mina en mapimi,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,49\. 35 Shots of Rum,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos JUDTIH,,,"{'date': datetime.date(2026, 4, 20), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"The Mathematics of Love (TED)
de Hannah Fry (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,"LibrerÃ­a Conarte, Mty",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,5\. Hoop Dreams,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos ADRIANA AREVALO,,,"{'date': datetime.date(2025, 11, 2), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Eso nunca funcionará: El nacimiento de Netflix y el poder de las grandes ideas (No Ficción) (Spanish Edition)
de Marc Randolph, Anna Valor Blanquer (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Hiking Grutas Nevadas,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,"6\. 4 Months, 3 Weeks and",,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Liliana Castillo,,,"{'date': datetime.date(2026, 1, 11), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Los líderes comen al final: Por qué algunos equipos funcionan bien y otros no (Gestión del conocimiento) (Spanish Edition)
de Simon Sinek, Martín Rodríguez-Courel Ginzo (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Tren Chepe 2021 ðŸš† QuÃ© estaciones visitar? ðŸ˜ El Chepe en invierno?â›„ Planea tu Recorrido Chepe Express,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,7\. 12 Years a Slave,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Jorge Caballero,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Encuentra tu porqué: Una guía práctica para encontrar un propósito en el trabajo (Gestión del conocimiento) (Spanish Edition)
de David Mead, Peter Docker (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,"[Cuatro CiÃ©negas, Coahuila: un lugar para comer rico, ver las estrellas y beber vino mexicano](https://es-us.vida-estilo.yahoo.com/cuatro-ci%C3%A9negas-coahuila-comer-rico-183054580.html)",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,8\. Ran,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Oscar A.,,,"{'date': datetime.date(2025, 12, 18), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Caos y complejidad: La realidad como caleidoscopio (Spanish Edition)
de Sergio de Régules Ruiz-Funes (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,PARRAS COAHUILA,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,9\. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Gerardo Herrera,,,"{'date': datetime.date(2025, 12, 21), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Bloodline
de Sidney Sheldon (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,[Cuatrimotos | Glamping Monterrey | Montemorelos](https://www.glampingmonterrey.com/),,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Belle de jour,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Alejandra Colomo,,,"{'date': datetime.date(2026, 3, 10), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"La casa embrujada (Estudios y documentos) (Spanish Edition)
de ED Warren, Lorraine Warren (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,[ChablÃ© Hotels - ChablÃ©](https://chablehotels.com/),,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Calavacitas tiernas con tintan,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Dante Torres,,,"{'date': datetime.date(2026, 3, 13), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"El evangelio de Lucas Gavilán (Spanish Edition)
de Vicente Leñero Otero (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Hiking la batea 40 min de mty,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Curiosa,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Alejandro Martinez,,,"{'date': datetime.date(2026, 3, 20), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Amor liquido,,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Hueverde (barbacoa en salsa),,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,El Lado obscuro del corazon,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Yazmin Melena,,,"{'date': datetime.date(2026, 4, 4), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Historias de mujeres,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,La pianista,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Liliana Vazquez,,,"{'date': datetime.date(2026, 5, 7), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Tenemos que hablar de Kevin by Lionel Shriver,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,La vida de adele,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Antonio Cortes,,,"{'date': datetime.date(2026, 5, 11), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Un mundo sin quejas.,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Last cristmas,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Gilberto C,,,"{'date': datetime.date(2026, 5, 12), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Inmortalidad del alma by San Agustin,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,SeducciÃ³n,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Rocío Sánchez de la B,,,"{'date': datetime.date(2026, 5, 23), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Memorias de  una Geisha,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,"[Watch ""The Way, ""El camino de Santiago""; Emilio Estevez 2010 (Castellano)"" on YouTube](https://youtu.be/QD3FtB9rNeo)",,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Monserrat González,,,"{'date': datetime.date(2026, 6, 4), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Muros de agua José Revueltas,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,The good place,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Berenice Guillen,,,"{'date': datetime.date(2026, 7, 26), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Bio benjamín franklin,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Cortina rasgada,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Guillermo Mtz,,,"{'date': datetime.date(2026, 9, 8), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Leer es resistir | Mario Mendoza,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Kelly + Victor,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Eloísa López,,,"{'date': datetime.date(2026, 9, 15), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Arrevatos carnales,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,â€˜Los Plebesâ€™ el narco que no ves en streaming,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Carlos Treviño,,,"{'date': datetime.date(2026, 9, 22), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"The Wit and Wisdom of Winston Churchill: A Treasury of More than 1000 Quotations
de James C. Humes, Richard M. Nixon (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,La cuerda floja,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Elsa García,,,"{'date': datetime.date(2026, 10, 17), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Security Operations Center Guidebook: A Practical Guide for a Successful SOC
de Gregory Jarpey, Scott Mccoy (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Dangal netflix,,,,
6f3q9rqqQqCV7WQh,,"Arrebatos carnales (Spanish Edition)
de Francisco Martín Moreno (Edición Kindle) |",,,,
6f3h7r5p7QgWmhPp,,Cumpleaños Daniela 6,,,"{'date': datetime.date(2025, 11, 13), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,El golpe robert redford,,,,
6f3q9rqqQqCV7WQh,,"Inteligencia matemática (Spanish Edition)
de Eduardo Sáenz de Cabezón (Edición Kindle) |",,,,
6f3h7r5p7QgWmhPp,,Cumpleaños Fernando Hdz,,,"{'date': datetime.date(2026, 10, 31), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Where is Bernadet,,,,
6f3q9rqqQqCV7WQh,,"How to Be Really Productive: Achieving Clarity and Getting Results in a World Where Work Never Ends
de Grace Marshall (Tapa blanda) | Ofrecido por Prime Deals, USA.",,,,
6f3h7r5p7QgWmhPp,,Cumpleaños Chelita,,,"{'date': datetime.date(2026, 10, 31), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Lucy,,,,
6f3q9rqqQqCV7WQh,,"Soy una mujer holística
de Maria José Flaqué (Edición Kindle) | Ofrecido por Penguin Random House Grupo Editorial SAU.",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Mi amigo nitche,,,,
6f3q9rqqQqCV7WQh,,"DICCIONARIO DE LENGUAJE NO VERBAL
de JOE NAVARRO, Jacqueline Guiter (Edición Kindle) | Ofrecido por Amazon Mexico Services, Inc..",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Siete prisioneros K6,,,,
6f3q9rqqQqCV7WQh,,"Finding Fibonacci: The Quest to Rediscover the Forgotten Mathematical Genius Who Changed the World (English Edition)
de Keith Devlin (Edición Kindle) | Ofrecido por Amazon Mexico Services, Inc..",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Chaos Walking,,,,
6f3q9rqqQqCV7WQh,,"Effective Physical Security (English Edition)
de Lawrence J. Fennelly (Edición Kindle) | Ofrecido por Amazon Mexico Services, Inc..",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Gringo viejo.,,,,
6f3q9rqqQqCV7WQh,,"Design and Evaluation of Physical Protection Systems (English Edition)
de Mary Lynn Garcia (Edición Kindle) | Ofrecido por Amazon Mexico Services, Inc..",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,La lengua de las mariposas,,,,
6f3q9rqqQqCV7WQh,,"La patria y la muerte: Los crímenes y horrores del nacionalismo mexicano
de José Luis Trueba Lara (Edición Kindle) | Ofrecido por Penguin Random House Grupo Editorial SAU.",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Kardec en Netflix,,,,
6f3q9rqqQqCV7WQh,,"Remote: Office Not Required (English Edition)
de Jason Fried, David Heinemeier Hansson (Edición Kindle) | Ofrecido por Amazon Mexico Services, Inc..",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,1\\. El muro (II) (2017),,,,
6f3q9rqqQqCV7WQh,,"Érase una vez México 1: De las cavernas al virreinato (Fuera de colección)
de Alejandro Rosas, Sandra Molina (Edición Kindle) | Ofrecido por Editorial Planeta, S.A.U..",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,2\\. Dura muerte (2020),,,,
6f3q9rqqQqCV7WQh,,"Los años heridos (Ensayo)
de Fritz Glockner (Edición Kindle) | Ofrecido por Editorial Planeta, S.A.U..",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,3\\. Jarhead 3: El asedio (2016),,,,
6f3q9rqqQqCV7WQh,,"Cómo explicar física cuántica con un gato zombi
de científicos sobre ruedas Big Van (Edición Kindle) | Ofrecido por Penguin Random House Grupo Editorial SAU.",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,"4\\. Matar, morir, reÃ­r (2017)",,,,
6f3q9rqqQqCV7WQh,,"El árbol de Emmy: Emmy Noether, la mayor matemática de la historia
de Eduardo Sáenz de Cabezón (Edición Kindle) | Ofrecido por Amazon Mexico Services, Inc..",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,5\\. La vida de un gruÃ±ido (2019),,,,
6f3q9rqqQqCV7WQh,,"Maravillosa historia del tiempo y sus circunstancias, la
de SALVADOR CASANOVA (Pasta blanda) | Ofrecido por Harper & Brookstone Books and Knowledge.",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,"6\\. Nosotros, los Marines (2017)",,,,
6f3q9rqqQqCV7WQh,,"Una Visita Al Siglo Xix
de Varios Autores (Pasta blanda) | Ofrecido por Amazon México.",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,7\\. Mar Muerto (2014),,,,
6f3q9rqqQqCV7WQh,,"Bluefishing: The Art of Making Things Happen (English Edition)
de Steve Sims (Edición Kindle) | Ofrecido por Amazon Mexico Services, Inc..",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,8\\. Perros del Diablo (2017),,,,
6f3q9rqqQqCV7WQh,,"Empieza Con el Porque: Como los Grandes Lideres Motivan A Actuar
de Simon Sinek (Pasta blanda) | Ofrecido por Librería Pushkin.",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,9\\. Eres el enemigo: Â¡Bienvenido de nuevo! (2014),,,,
6f3q9rqqQqCV7WQh,,"¿Cuándo?: La ciencia de encontrar el momento preciso (Alienta)
de Daniel H. Pink, Verónica Puertollano López (Edición Kindle) | Ofrecido por Editorial Planeta, S.A.U..",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,10\\. Roca Saber (2017),,,,
6f3q9rqqQqCV7WQh,,"Yo, Díaz
de Pedro J. Fernández (Edición Kindle) |",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,11\\. Novias de guerra de JapÃ³n (2018),,,,
6f3q9rqqQqCV7WQh,,"Chaos: Making a New Science
de James Gleick (Pasta blanda) | Ofrecido por Amazon México.",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,"12\\. Sistema de autodefensa de Gentleman Warrior Volumen 3, (2016)",,,,
6f3q9rqqQqCV7WQh,,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma (English Edition)
de Bessel van der Kolk (Edición Kindle) | Ofrecido por Amazon Mexico Services, Inc..",,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,13\\. El hombre del sombrero de vaquero (2016),,,,
